welfare_id,welfare_service_name,welfare_dept_name,welfare_target_detail,welfare_crit,welfare_service_content,welfare_howto,welfare_contact,welfare_phone,welfare_site_name,welfare_site_link,welfare_purpose,welfare_family,welfare_target,welfare_life
WLF00003174,장애인창업육성,중소벤처기업부,장애인(국가유공자 중 상이자 포함) 예비창업자와 업종전환자를 지원합니다.,"


장애인 맞춤형 창업교육은 창업의지가 높은 장애인이 대상(선착순)으로 지원합니다.
장애인창업사업화 지원은 사업성을 평가하여 선정합니다.
장애인 창업아이템 경진대회는 아이템 사업화 등을 평가하여 선정합니다.
발달장애인 가족창업 특화사업장 구축은 지역선정위원회를 통해 평가하여 선정합니다.




","발달장애인 가족창업 특화사업장 구축(2개소)하고, 장애인 창업교육, 멘토링, 사업화 자금을 지원*(65명)하며,장애인 창업아이템 경진대회 성적 우수자에 대해 상금 및 중소벤처기업부 장관 상을 수여합니다.
* 1인당 최대 20백만원 한도","거주지 읍/면/동 주민센터, (재)장애인기업종합지원센터에서 ‘서비스 신청’",장애인기업종합지원센터 문의전화,02-2181-6500,장애인기업종합지원센터 문의전화,https://www.debc.or.kr,9,장애인,5,6
WLF00003176,농식품바우처 시범사업,농림축산식품부 식생활소비진흥과,"2021년 농식품바우처 시범지역의 기초생활수급자와 차상위계층 가구를 지원합니다. 
 
9개 지역(강원 평창군, 충북 괴산군, 충남 청양군, 충남 당진시, 전북 김제시, 전남 해남군, 경북 예천군, 경남 거제시, 경남 밀양시) 
 
2022년 농식품 바우처 시범지역은 공모중이며 시범지역의 기초생활수급자와 차상위계층 가구에 지원합니다. * 2022년 2월경 시범지역 선정, 3월경부터 지원 예정"," 
 
 
 
중위소득 50% 이하 가구로 기초생활수급자나 차상위계층을 지원합니다. 
 
","농협 하나로마트 등의 공급처에서 과일, 채소, 우유, 계란 등의 국산 농산물을 구매할 수 있는 농식품바우처 전자카드를 제공합니다.","거주지 읍/면/동 주민센터, 시범 지역 읍면동주민센터에서 ‘서비스 신청’",농식품바우처 콜센터,02-538-1957,농식품바우처 콜센터,http://www.at.or.kr/fooddream,9,저소득,5,6
WLF00003177,복권기금 꿈사다리 장학사업,교육부 교육복지정책과,"학교에 재학 중인 중2~고3 학생 중 역량과 잠재력이 있는 우수학생을 지원합니다.

다만, 고등공민학교 및 고등기술학교는 제외


대상자 기본 요건은 다음과 같습니다.

국민기초생활수급자
한부모가족 지원대상자
법정 차상위계층 학생","


꿈장학생은 직전 학년 결석 10회 미만, 직전 학년 봉사활동 실적 연간 10시간 이상, 직전 학년 성적 등을 고려해 선발합니다.
재능장학생은 직전 학년 결석 10회 미만, 교과 성적 제한 없이 선발합니다.
SOS장학생은 교과, 비교과 최소 기준 없이 선발합니다.
추천 및 신청 제외 학생은 다음과 같습니다.

학교폭력 가해 등 사회적 물의를 일으킨 학생
정부지자체 및 공공기관의 타 계속 장학금을 수혜 중인 학생






",매월 25-45만원 장학금(학교급 및 유형별 차등지급) 지원합니다.,"거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",한국장학재단 상담센터,1599-2290,한국장학재단 상담센터,http://www.kosaf.go.kr/,9,"저소득, 한부모·조손",5,청소년
WLF00003186,양육비 이행 원스톱 종합서비스,여성가족부 가족지원과,"만 19세 미만 자녀를 양육하고 있는 한부모 조손가족을 지원합니다.
취학 중인 22세 미만 자녀와 군복무 후 복학한 22세 미만 + 군 복무기관 자녀를 양육하고 있는 한부모와 조손가족을 지원합니다.","


소득과 재산 정도에 상관없이 한부모가족조손가족인 경우에 지원합니다.
한부모가족증명서가 발급되지 않는 한부모가족도 지원합니다.




","1회 신청으로 자녀가 성인이 될 때까지 상담에서 협의, 소송, 채권추심, 사후 이행 모니터링까지 맞춤형 종합서비스를 제공합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",양육비이행관리원,1644-6621,양육비이행관리원,www.childsupport.or.kr,9,한부모·조손,5,6
WLF00003188,다문화·탈북학생 멘토링,교육부 교육기회보장과,"초등학생, 중학생, 고등학생 중 다문화 가정의 학생과 탈북 학생을 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","다문화 가정의 학생과 탈북 학생의 기초학습을 지도합니다.
다문화 가정의 학생과 탈북 학생의 진로와 생활을 지도합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",한국장학재단 고객센터,1599-2000,한국장학재단 고객센터,www.kosaf.go.kr,9,다문화·탈북민,5,"아동, 청소년"
WLF00003190,의료급여(의료급여대지급금지원),보건복지부 기초의료보장과,"2종 의료급여 수급권자에게 지원합니다.
비급여항목은 지원대상이 아닙니다.","


보장기관(시군구 또는 읍면동)에 대지급금을 신청한 수급자 중에서 대불 조건에 해당되는 수급자에게 지원합니다.




","의료급여 2종 수급자가 의료급여 기관에 입원하여 발생한 급여비용 중 본인부담금이 20만원을 초과한 경우, 수급권자 본인 또는 부양 의무자의 신청에 의해 보장 기관이 승인한 금액을 지원합니다.","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,저소득,5,6
WLF00003191,노인맞춤돌봄서비스,보건복지부 노인정책과,"돌봄서비스가 필요한 만 65세 이상 어르신을 지원합니다.




중점돌봄군은 신체적인 기능제한으로 일상생활 지원 필요가 큰 대상으로 대상자 선정조사 결과, 신체영역이 상이면서 사회영역 또는 정신영역에서 중또는 상이 1개 이상으로 판정된 대상자 입니다.
일반돌봄군은 사회적인 관계 단절 및 일상생활 어려움으로 돌봄이 필요가 있는 대상으로 대상자 선정조사 결과, 사회영역이 중이상 이면서, 신체영역 또는 정신영역에서 중또는 상이 1개 이상으로 판정된 대상자(중점돌봄군 제외) 입니다.","


가구 소득, 건강상태 등을 고려하여 지원합니다.
①국민기초생활수급자, ②차상위계층 또는 ③기초연금수급자로서 유사중복사업 자격에 해당되지 않는 경우 선정합니다.
시/군/구청장이 서비스가 필요하다고 인정하는 경우에 예외적으로 제공합니다.




","아래와 같은 방문서비스를 지원합니다.

방문형, 통원형(집단 프로그램) 등의 직접 서비스(안전지원, 사회참여, 생활교육, 일상생활지원) 및 연계 서비스(민간후원 자원), 특화서비스, 사후관리서비스를 제공합니다.


개인별 조사, 상담에 따라 서비스 제공계획 수립을 통해 개인별 돌봄욕구, 필요정도에 따라 서비스 내용, 제공시간, 제공주기 등을 결정합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부,129,보건복지부,http://www.mohw.go.kr,9,저소득,5,노년
WLF00003198,장애아동수당,보건복지부 장애인자립기반과,만 18세 미만의 등록 장애인으로 생계의료주거교육급여 수급자 및 차상위계층을 지원합니다.,"


소득인정액이 기준 중위소득 50% 이하인 경우 지원합니다.
※ 4인 가구 기준 2,438,145원 이하
신청 월 기준으로 만 18세 미만인 경우에 지원합니다.

초/중등교육법 제2조에 따른 학교에 재학(휴학 포함) 중인 경우 18~20세 포함하되 장애인연금을 받는 경우 제외
신청일이 속하는 월의 말일까지 만 18세가 되는 경우는 제외


신청일 기준 등록 장애아동에게 지원합니다.

중증장애인: 장애인연금법상 중증 해당(종전 1급, 2급 및 3급 중복)
경증장애인: 장애인연금법상 중증 미해당(종전 3~6급)


가구의 범위는 국민기초생활보장제도의 가구 범위와 동일하게 적용하며, 가구 해체 방지를 위하여 별도 가구 특례 적용이 가능합니다.
소득인정액의 산정방식은 국민기초생활보장제도 방식과 동일합니다.

소득의 범위에 사적이전소득, 보장기관 확인소득, 부양비는 적용하지 않음


부양의무자 기준은 적용하지 않습니다.




","중증장애인은 다음과 같이 지원합니다.

국민기초생활보장 생계 또는 의료급여 수급자: 매월 20만원
국민기초생활보장 주거 또는 교육급여 수급자 및 차상위계층: 매월 15만원
보장시설에서 생활하는 생계 또는 의료급여 수급자: 매월 7만원


경증장애인은 다음과 같이 지원합니다.

국민기초생활보장 생계 또는 의료급여 수급자: 매월 10만원
국민기초생활보장 주거 또는 교육급여 수급자 및 차상위계층: 매월 10만원
보장시설에서 생활하는 생계 또는 의료급여 수급자: 매월 2만원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,저소득,5,6
WLF00003202,의료급여(본인부담 상한금),보건복지부 기초의료보장과,의료급여 1종 및 2종 수급권자에게 지원합니다.,"


의료급여수급자 중 급여대상 본인부담금이 대통령령에서 정하는 금액을 초과한 수급권자를 선정합니다.

1종 수급권자 : 매30일간 5만원 초과한 경우
2종 수급권자 : 연간 80만원을 초과한 경우(단, 요양병원에 연간 240일을 초과하여 입원 시에는 연간 120만원을 초과한 경우)




지원제외대상

타 사업에서 지원 받는 경우 지원금액을 제외한 본인부담금을 지급합니다.

장애인복지법에 의한 등록 장애인으로 의료비 지원대상인 경우
긴급복지지원법에서 의료비를 지원 받은 경우
보건소 희귀난치성 질환자 지원, 소아암 지원 사업 등의 대상자로 의료비를 지원 받은 경우
기타 사회복지공동모금회 등 공공기관에서 지원 받는 진료비 등 수급권자 본인이 지급하지 아니하는 진료비


100% 본인부담 진료비는 제외합니다.

진료 개시일이 상한 일수를 초과한 경우(급여 상한기준을 초과하여 발생한 경우)
입원 식대 중 본인부담금 등
요양병원 중 정신병원과 장애인의료재활시설을 제외한 요양병원에서 입원진료를 받는 수급권자가 의료급여의뢰서 없이 다른 의료급여기관에서진료를 받는 경우에 소요된 비용의 총액


비급여 항목으로 진료를 받고 본인이 부담한 경우는 제외합니다.
수급권자 자신이 고의 또는 중대한 과실로 인하여 의료급여가 발생한 경우는 의료급여 제한 사유에 해당하므로 제외합니다.
수급권자가 속임수나 기타 부정한 방법으로 의료급여를 받은 경우는 부당 이득금 징수 대상에 해당하므로 제외합니다.




","본인부담 상한제는 다음과 같습니다.

1종 : 매 30일간 5만원을 초과한 경우 초과금액 전액 지급
2종 : 연간 80만원을 초과한 경우 초과금액 전액 지급
* 요양병원에 연간 240일을 초과하여 입원한 경우는 연간 120만원을 초과한 경우 초과금액 전액 지급


본인부담금 보상제를 먼저 적용한 후 본인부담금이 일정 수준(상한기준액)을 초과한 경우, 사후에 시/군/구청에서 초과금액을 수급권자에게 지급합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 국민기초생활보장제도,,보건복지부 국민기초생활보장제도,http://team.mw.go.kr/blss,9,저소득,5,6
WLF00003203,사망일시금,국가보훈처 보상정책과,"지원대상 및 선정기준


보상금을 받고 있는 독립(국가)유공자 및 보훈보상대상자사망 시 다음의 대상자에게 지원합니다.

보상금 지급순위에 따라 유족에게 사망일시금을 지급
유족이 없을 경우, 사망 당시 생활을 같이 하고 있던 친족 중 재산 상속인이 될 자의 신청에 따라 당해 재산상속인에게 지급
재산 상속인이 될 자도 없는 경우에는 장제를 행하는 자에게 지급할 수 있음


보상금을 받고 있는 독립(국가)유공자 및 보훈보상대상자의 유족이 사망 시, 다음의 대상자에게 지원합니다.

당해 보상금을 받을 수 있는 다른 유족이 없는 경우에 한하여 지급
사망 당시 생활을 같이 하고 있던 친족 중 재산 상속인이 될 자의 신청에 따라 당해 재산상속인에게 지급
재산상속인이 될 자도 없는 경우에는 장제를 행하는 자에게 지급할 수 있음","



보상금을 받고 있는 독립(국가)유공자 및 보훈보상대상자사망 시 다음의 대상자에게 지원합니다.

보상금 지급순위에 따라 유족에게 사망일시금을 지급
유족이 없을 경우, 사망 당시 생활을 같이 하고 있던 친족 중 재산 상속인이 될 자의 신청에 따라 당해 재산상속인에게 지급
재산 상속인이 될 자도 없는 경우에는 장제를 행하는 자에게 지급할 수 있음


보상금을 받고 있는 독립(국가)유공자 및 보훈보상대상자의 유족이 사망 시, 다음의 대상자에게 지원합니다.

당해 보상금을 받을 수 있는 다른 유족이 없는 경우에 한하여 지급
사망 당시 생활을 같이 하고 있던 친족 중 재산 상속인이 될 자의 신청에 따라 당해 재산상속인에게 지급
재산상속인이 될 자도 없는 경우에는 장제를 행하는 자에게 지급할 수 있음






","애국지사 작고 시, 다음과 같이 일시금을 지원합니다.

건국훈장(1~3등급): 326만8,000원 지원
건국훈장(4등급): 320만8,000원 지원
건국훈장(5등급): 170만4,000원
건국포장: 120만8,000원
대통령 표창: 112만7,000 지원


애국지사 보상금 승계유족이 없을 경우, 다음과 같이 일시금을 지원합니다.

1~3등급 배우: 226만1,000원 지원
1~3등급 유족: 220만원 지원
4등급 유족: 198만9,000원 지원
5등급 이하 기타 유족: 112만7,000원 지원


상이군경 및 유족은 다음과 같이 지원합니다.

상이군경(1급): 170만4,000원 지원
상이군경(2~7급, 유족보상금 비승계): 144만4,000원 지원
상이군경(2~7급, 유족보상금 승계): 112만7,000원 지원
유족(보상금 종결시): 112만7,000원 지원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",국가보훈처,,국가보훈처,http://www.mpva.go.kr/,9,보훈대상자,5,6
