welfarelife_welfare_id,welfarelife_life_id,welfare_id
WLF00001153,5,267
WLF00001153,4,267
WLF00001154,6,268
WLF00001155,6,269
WLF00001156,6,270
WLF00001157,5,271
WLF00001157,4,271
WLF00001157,3,271
WLF00001157,2,271
WLF00001158,5,272
WLF00001159,6,273
WLF00001160,6,274
WLF00001161,6,275
WLF00001162,6,276
WLF00001163,6,277
WLF00001164,5,278
WLF00001165,5,279
WLF00001165,4,279
WLF00001165,3,279
WLF00001166,6,280
WLF00001168,6,281
WLF00001169,6,282
WLF00001171,1,283
WLF00001171,0,283
WLF00001171,2,283
WLF00001173,6,284
WLF00001174,6,285
WLF00001175,6,286
WLF00001176,6,287
WLF00001177,6,288
WLF00001178,2,289
WLF00001178,1,289
WLF00001179,5,290
WLF00001179,4,290
WLF00001180,6,291
WLF00001181,5,292
WLF00001182,6,293
WLF00001183,0,294
WLF00001184,6,295
WLF00001185,6,296
WLF00001186,6,297
WLF00001187,6,298
WLF00001188,6,299
WLF00003168,6,300
WLF00003169,6,301
WLF00003170,6,302
WLF00003171,6,303
WLF00003172,6,304
WLF00003173,4,305
WLF00003173,3,305
WLF00003173,2,305
WLF00003174,6,306
WLF00003175,6,307
WLF00003176,6,308
WLF00003177,2,309
WLF00003178,6,310
WLF00003179,6,311
WLF00003180,6,312
WLF00003181,6,313
WLF00003182,6,314
WLF00003183,6,315
WLF00003184,6,316
WLF00003185,1,317
WLF00003185,2,317
WLF00003186,6,318
WLF00003187,1,319
WLF00003187,3,319
WLF00003187,2,319
WLF00003188,1,320
WLF00003188,2,320
WLF00003189,6,321
WLF00003190,6,322
WLF00003191,5,323
WLF00003192,6,324
WLF00003193,6,325
WLF00003194,6,326
WLF00003195,0,327
WLF00003195,2,327
WLF00003195,1,327
WLF00003196,6,328
WLF00003197,6,329
WLF00003198,6,330
WLF00003199,6,331
WLF00003200,2,332
WLF00003200,3,332
WLF00003200,1,332
WLF00003201,6,333
WLF00003202,6,334
WLF00003203,6,335
WLF00003204,2,336
WLF00003204,1,336
WLF00003204,3,336
WLF00003205,5,337
WLF00003205,4,337
WLF00003206,6,338
WLF00003207,6,339
WLF00003208,6,340
WLF00003209,6,341
WLF00003210,6,342
WLF00003211,6,343
WLF00003212,6,344
WLF00003213,5,345
WLF00003213,1,345
WLF00003213,0,345
WLF00003213,2,345
WLF00003214,3,346
WLF00003214,5,346
WLF00003214,4,346
WLF00003215,6,347
WLF00003216,6,348
WLF00003217,6,349
WLF00003218,6,350
WLF00003219,6,351
WLF00003220,6,352
WLF00003221,3,353
WLF00003221,2,353
WLF00003222,6,354
WLF00003223,6,355
WLF00003224,6,356
WLF00003225,6,357
WLF00003226,6,358
WLF00003227,6,359
WLF00003228,6,360
WLF00003229,6,361
WLF00003230,6,362
WLF00003231,6,363
WLF00003232,6,364
WLF00003233,5,365
WLF00003234,6,366
WLF00003235,1,367
WLF00003235,2,367
WLF00003235,0,367
WLF00003236,3,368
WLF00003236,1,368
WLF00003236,2,368
WLF00003237,0,369
WLF00003238,6,370
WLF00003239,6,371
WLF00003240,3,372
WLF00003240,5,372
WLF00003240,4,372
WLF00003241,4,373
WLF00003241,5,373
WLF00003242,1,374
WLF00003242,0,374
WLF00003242,2,374
WLF00003243,6,375
WLF00003244,6,376
WLF00003245,2,377
WLF00003245,3,377
WLF00003245,4,377
WLF00003245,5,377
WLF00003247,6,379
WLF00003248,6,380
WLF00003249,6,381
WLF00003250,0,382
WLF00003251,6,383
WLF00003252,5,384
WLF00003253,6,385
WLF00003254,2,386
WLF00003254,3,386
WLF00003254,1,386
WLF00003255,6,387
WLF00003256,6,388
WLF00003257,6,389
WLF00003258,6,390
WLF00003259,6,391
WLF00003260,2,392
WLF00003260,3,392
WLF00003260,1,392
WLF00003260,4,392
WLF00003261,6,393
WLF00003262,2,394
WLF00003262,0,394
WLF00003262,1,394
WLF00003263,2,395
WLF00003263,1,395
WLF00003264,6,396
WLF00003265,6,397
WLF00003266,6,398
WLF00003267,6,399
WLF00003268,6,400
WLF00003268,6,400
WLF00003269,6,401
WLF00003270,6,402
WLF00003271,6,403
WLF00003272,6,404
WLF00003273,6,405
WLF00003274,6,406
WLF00003275,6,407
WLF00003276,6,408
WLF00003277,3,409
WLF00003277,4,409
WLF00003277,5,409
WLF00003278,6,410
WLF00003279,6,411
WLF00003280,4,412
WLF00003280,5,412
WLF00003281,6,413
WLF00003282,1,414
WLF00003282,0,414
WLF00003282,2,414
WLF00003283,1,415
WLF00003283,2,415
WLF00003283,0,415
WLF00004647,6,416
WLF00004648,6,417
WLF00004649,6,418
WLF00004650,1,419
WLF00004650,2,419
WLF00004651,2,420
WLF00004651,3,420
WLF00004651,5,420
WLF00004651,4,420
WLF00004654,6,421
WLF00004655,6,422
WLF00004657,0,424
