welfarefamily_welfare_id,welfarefamily_family_id,welfare_id
WLF00001081,12,195
WLF00001082,12,196
WLF00001083,12,197
WLF00001084,12,198
WLF00001085,12,199
WLF00001086,12,200
WLF00001087,6,201
WLF00001087,7,201
WLF00001087,8,201
WLF00001088,7,202
WLF00001089,7,203
WLF00001090,12,204
WLF00001091,7,205
WLF00001092,12,206
WLF00001093,6,207
WLF00001093,7,207
WLF00001094,12,208
WLF00001095,12,209
WLF00001096,12,210
WLF00001097,12,211
WLF00001098,8,212
WLF00001099,12,213
WLF00001100,12,214
WLF00001101,12,215
WLF00001102,8,216
WLF00001103,8,217
WLF00001103,7,217
WLF00001104,12,218
WLF00001105,12,219
WLF00001106,12,220
WLF00001107,12,221
WLF00001108,12,222
WLF00001109,8,223
WLF00001110,12,224
WLF00001111,12,225
WLF00001112,12,226
WLF00001113,6,227
WLF00001114,12,228
WLF00001115,7,229
WLF00001115,8,229
WLF00001116,12,230
WLF00001117,6,231
WLF00001118,12,232
WLF00001119,12,233
WLF00001120,12,234
WLF00001121,6,235
WLF00001122,5,236
WLF00001123,12,237
WLF00001124,12,238
WLF00001125,12,239
WLF00001126,12,240
WLF00001127,5,241
WLF00001128,7,242
WLF00001129,8,243
WLF00001130,7,244
WLF00001131,5,245
WLF00001132,7,246
WLF00001133,12,247
WLF00001134,12,248
WLF00001135,7,249
WLF00001136,6,250
WLF00001137,12,251
WLF00001138,12,252
WLF00001139,12,253
WLF00001140,12,254
WLF00001141,12,255
WLF00001142,3,256
WLF00001143,6,257
WLF00001144,6,258
WLF00001145,12,259
WLF00001146,12,260
WLF00001147,12,261
WLF00001148,12,262
WLF00001149,12,263
WLF00001150,7,264
WLF00001150,6,264
WLF00001151,6,265
WLF00001152,12,266
WLF00001153,6,267
WLF00001154,6,268
WLF00001155,12,269
WLF00001156,12,270
WLF00001157,12,271
WLF00001158,12,272
WLF00001159,12,273
WLF00001160,12,274
WLF00001161,12,275
WLF00001162,12,276
WLF00001163,12,277
WLF00001164,12,278
WLF00001165,6,279
WLF00001166,12,280
WLF00001168,3,281
WLF00001169,7,282
WLF00001171,12,283
WLF00001173,6,284
WLF00001174,12,285
WLF00001175,12,286
WLF00001176,12,287
WLF00001177,12,288
WLF00001178,6,289
WLF00001179,7,290
WLF00001179,8,290
WLF00001180,12,291
WLF00001181,12,292
WLF00001182,8,293
WLF00001182,7,293
WLF00001183,12,294
WLF00001184,7,295
WLF00001185,7,296
WLF00001186,12,297
WLF00001187,6,298
WLF00001188,7,299
WLF00003168,3,300
WLF00003169,12,301
WLF00003170,12,302
WLF00003171,7,303
WLF00003172,3,304
WLF00003173,6,305
WLF00003173,7,305
WLF00003174,6,306
WLF00003175,12,307
WLF00003176,7,308
WLF00003177,7,309
WLF00003177,8,309
WLF00003178,12,310
WLF00003179,12,311
WLF00003180,12,312
WLF00003181,7,313
WLF00003181,6,313
WLF00003182,12,314
WLF00003183,12,315
WLF00003184,12,316
WLF00003185,12,317
WLF00003186,8,318
WLF00003187,12,319
WLF00003188,3,320
WLF00003189,6,321
WLF00003190,7,322
WLF00003191,7,323
WLF00003192,12,324
WLF00003193,12,325
WLF00003194,12,326
WLF00003195,6,327
WLF00003196,12,328
WLF00003197,12,329
WLF00003198,7,330
WLF00003199,12,331
WLF00003200,12,332
WLF00003201,12,333
WLF00003202,7,334
WLF00003203,5,335
WLF00003204,12,336
WLF00003205,12,337
WLF00003206,3,338
WLF00003207,12,339
WLF00003208,5,340
WLF00003209,7,341
WLF00003210,12,342
WLF00003211,7,343
WLF00003211,6,343
WLF00003212,12,344
WLF00003213,12,345
WLF00003214,12,346
WLF00003215,12,347
WLF00003216,5,348
WLF00003217,12,349
WLF00003218,7,350
WLF00003219,6,351
WLF00003220,6,352
WLF00003221,12,353
WLF00003222,12,354
WLF00003223,12,355
WLF00003224,12,356
WLF00003225,12,357
WLF00003226,12,358
WLF00003227,8,359
WLF00003227,7,359
WLF00003228,7,360
WLF00003229,12,361
WLF00003230,12,362
WLF00003231,6,363
WLF00003232,7,364
WLF00003233,8,365
WLF00003233,6,365
WLF00003234,12,366
WLF00003235,12,367
WLF00003236,12,368
WLF00003237,7,369
WLF00003238,7,370
WLF00003239,12,371
WLF00003240,7,372
WLF00003241,12,373
WLF00003242,12,374
WLF00003243,12,375
WLF00003244,12,376
WLF00003245,12,377
WLF00003246,12,378
WLF00003247,7,379
WLF00003247,6,379
WLF00003248,12,380
WLF00003249,12,381
WLF00003250,12,382
WLF00003251,12,383
WLF00003252,12,384
WLF00003253,12,385
WLF00003254,12,386
WLF00003255,6,387
WLF00003255,7,387
WLF00003255,8,387
WLF00003256,12,388
WLF00003257,7,389
WLF00003257,6,389
WLF00003257,5,389
WLF00003258,7,390
WLF00003259,6,391
WLF00003260,6,392
WLF00003261,5,393
WLF00003261,6,393
WLF00003262,6,394
WLF00003263,12,395
WLF00003264,12,396
WLF00003265,7,397
WLF00003266,12,398
WLF00003267,7,399
WLF00003268,12,400
WLF00003268,12,400
WLF00003269,7,401
WLF00003269,8,401
WLF00003269,5,401
WLF00003269,6,401
WLF00003269,4,401
WLF00003270,12,402
WLF00003271,12,403
WLF00003272,12,404
WLF00003273,7,405
WLF00003274,5,406
WLF00003275,12,407
WLF00003276,12,408
WLF00003277,12,409
WLF00003278,6,410
WLF00003279,6,411
WLF00003280,12,412
WLF00003281,5,413
WLF00003282,12,414
WLF00003283,7,415
WLF00004647,12,416
WLF00004648,12,417
WLF00004649,12,418
WLF00004650,12,419
WLF00004651,6,420
WLF00004654,6,421
WLF00004655,6,422
WLF00004656,12,423
WLF00004657,12,424
