welfarefamily_welfare_id,welfarefamily_family_id
WLF00000074,7
WLF00000075,12
WLF00000076,7
WLF00000076,8
WLF00000077,12
WLF00000078,12
WLF00000086,3
WLF00000087,12
WLF00000088,12
WLF00000089,12
WLF00000090,12
WLF00000091,8
WLF00000092,8
WLF00000092,7
WLF00000093,12
WLF00000094,12
WLF00000095,12
WLF00000096,12
WLF00000097,5
WLF00000098,5
WLF00000099,6
WLF00000100,7
WLF00000100,4
WLF00000100,8
WLF00000101,5
WLF00000102,7
WLF00000103,12
WLF00000104,6
WLF00000747,12
WLF00000748,12
WLF00000750,5
WLF00000751,12
WLF00000781,7
WLF00000781,8
WLF00000782,3
WLF00000807,12
WLF00000812,12
WLF00000814,12
WLF00000815,12
WLF00000837,12
WLF00000838,12
WLF00000842,12
WLF00000864,12
WLF00000867,12
WLF00000888,12
WLF00000892,12
WLF00000896,12
WLF00000917,12
WLF00000921,3
WLF00000922,12
WLF00000923,7
WLF00000946,6
WLF00000946,7
WLF00000948,12
WLF00000968,5
WLF00000969,12
WLF00000975,12
WLF00000998,5
WLF00001020,3
WLF00001021,6
WLF00001026,12
WLF00001059,5
WLF00001060,12
WLF00001061,12
WLF00001062,6
WLF00001062,7
WLF00001063,12
WLF00001064,5
WLF00001065,5
WLF00001066,5
WLF00001067,12
WLF00001068,8
WLF00001069,12
WLF00001070,6
WLF00001071,12
WLF00001072,12
WLF00001073,12
WLF00001074,12
WLF00001075,12
WLF00001076,12
WLF00001077,12
WLF00001078,12
WLF00001079,12
WLF00001080,12
WLF00001081,12
WLF00001082,12
WLF00001083,12
WLF00001084,12
WLF00001085,12
WLF00001086,12
WLF00001087,6
WLF00001087,7
WLF00001087,8
WLF00001088,7
WLF00001089,7
WLF00001090,12
WLF00001091,7
WLF00001092,12
WLF00001093,6
WLF00001093,7
WLF00001094,12
WLF00001095,12
WLF00001096,12
WLF00001097,12
WLF00001098,8
WLF00001099,12
WLF00001100,12
WLF00001101,12
WLF00001102,8
WLF00001103,8
WLF00001103,7
WLF00001104,12
WLF00001105,12
WLF00001106,12
WLF00001107,12
WLF00001108,12
WLF00001109,8
WLF00001110,12
WLF00001111,12
WLF00001112,12
WLF00001113,6
WLF00001114,12
WLF00001115,7
WLF00001115,8
WLF00001116,12
WLF00001117,6
WLF00001118,12
WLF00001119,12
WLF00001120,12
WLF00001121,6
WLF00001122,5
WLF00001123,12
WLF00001124,12
WLF00001125,12
WLF00001126,12
WLF00001127,5
WLF00001128,7
WLF00001129,8
WLF00001130,7
WLF00001131,5
WLF00001132,7
WLF00001133,12
WLF00001134,12
WLF00001135,7
WLF00001136,6
WLF00001137,12
WLF00001138,12
WLF00001139,12
WLF00001140,12
WLF00001141,12
WLF00001142,3
WLF00001143,6
WLF00001144,6
WLF00001145,12
WLF00001146,12
WLF00001147,12
WLF00001148,12
WLF00001149,12
WLF00001150,7
WLF00001150,6
WLF00001151,6
WLF00001152,12
WLF00001153,6
WLF00001154,6
WLF00001155,12
WLF00001156,12
WLF00001157,12
WLF00001158,12
WLF00001159,12
WLF00001160,12
WLF00001161,12
WLF00001162,12
WLF00001163,12
WLF00001164,12
WLF00001165,6
WLF00001166,12
WLF00001168,3
WLF00001169,7
WLF00001171,12
WLF00001173,6
WLF00001174,12
WLF00001175,12
WLF00001176,12
WLF00001177,12
WLF00001178,6
WLF00001179,7
WLF00001179,8
WLF00001180,12
WLF00001181,12
WLF00001182,8
WLF00001182,7
WLF00001183,12
WLF00001184,7
WLF00001185,7
WLF00001186,12
WLF00001187,6
WLF00001188,7
WLF00003168,3
WLF00003169,12
WLF00003170,12
WLF00003171,7
WLF00003172,3
WLF00003173,6
WLF00003173,7
WLF00003174,6
WLF00003175,12
WLF00003176,7
WLF00003177,7
WLF00003177,8
WLF00003178,12
WLF00003179,12
WLF00003180,12
WLF00003181,7
WLF00003181,6
WLF00003182,12
WLF00003183,12
WLF00003184,12
WLF00003185,12
WLF00003186,8
WLF00003187,12
WLF00003188,3
WLF00003189,6
WLF00003190,7
WLF00003191,7
WLF00003192,12
WLF00003193,12
WLF00003194,12
WLF00003195,6
WLF00003196,12
WLF00003197,12
WLF00003198,7
WLF00003199,12
WLF00003200,12
WLF00003201,12
WLF00003202,7
WLF00003203,5
WLF00003204,12
WLF00003205,12
WLF00003206,3
WLF00003207,12
WLF00003208,5
WLF00003209,7
WLF00003210,12
WLF00003211,7
WLF00003211,6
WLF00003212,12
WLF00003213,12
WLF00003214,12
WLF00003215,12
WLF00003216,5
WLF00003217,12
WLF00003218,7
WLF00003219,6
WLF00003220,6
WLF00003221,12
WLF00003222,12
WLF00003223,12
WLF00003224,12
WLF00003225,12
WLF00003226,12
WLF00003227,8
WLF00003227,7
WLF00003228,7
WLF00003229,12
WLF00003230,12
WLF00003231,6
WLF00003232,7
WLF00003233,8
WLF00003233,6
WLF00003234,12
WLF00003235,12
WLF00003236,12
WLF00003237,7
WLF00003238,7
WLF00003239,12
WLF00003240,7
WLF00003241,12
WLF00003242,12
WLF00003243,12
WLF00003244,12
WLF00003245,12
WLF00003246,12
WLF00003247,7
WLF00003247,6
WLF00003248,12
WLF00003249,12
WLF00003250,12
WLF00003251,12
WLF00003252,12
WLF00003253,12
WLF00003254,12
WLF00003255,6
WLF00003255,7
WLF00003255,8
WLF00003256,12
WLF00003257,7
WLF00003257,6
WLF00003257,5
WLF00003258,7
WLF00003259,6
WLF00003260,6
WLF00003261,5
WLF00003261,6
WLF00003262,6
WLF00003263,12
WLF00003264,12
WLF00003265,7
WLF00003266,12
WLF00003267,7
WLF00003268,12
WLF00003268,12
WLF00003269,7
WLF00003269,8
WLF00003269,5
WLF00003269,6
WLF00003269,4
WLF00003270,12
WLF00003271,12
WLF00003272,12
WLF00003273,7
WLF00003274,5
WLF00003275,12
WLF00003276,12
WLF00003277,12
WLF00003278,6
WLF00003279,6
WLF00003280,12
WLF00003281,5
WLF00003282,12
WLF00003283,7
WLF00004647,12
WLF00004648,12
WLF00004649,12
WLF00004650,12
WLF00004651,6
WLF00004654,6
WLF00004655,6
WLF00004656,12
WLF00004657,12
